date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2022-03-29 | 2.9
2022-03-30 | 2.9
2009-01-02 | 3.5
2009-01-01 | 3.5
2010-10-01 | 0
2010-10-01 | 1000
2010-10-01 | 1001
2008-10-01 | 1001
2023-10-01 | 1001
2011-13-01 | 1001
2011-12-33 | 1001
2011-12-00 | 1001
2011-00-05 | 1001
2011-12-31 | 1000
2011-11-31 | 1000
2011-11-30 | 1000
2011-02-29 | 1000
2011-02-28 | 1000
201a-02-28 | 1000
2011-a2-28 | 1000
2011-02-b8 | 1000
2011-029-28 | 1000
2011-02-285 | 1000
2011-0-2-28 | 1000
2011-02-29-28 | 1000
2011-02-28| 1000
2011-02-28 |1000
2011-02-28.5 | 1000
2011-0.2-28 | 1000
2011.9-02-28 | 1000
-2011-02-28 | 1000
2011-02-28 | 0.0.1000
2011-02-28 | 0...1000
2011-02-28 | 10c0
2011-02-28 | 1000asdfs
2011-02-28 | adfs1000
2011-02-28 |
  | 1000
2011-02-28 $ 1000
